playerName,season,team,birdies_per_round,drive_distance,eagles,fairway_pct,gir_pct,putting_avg,scrambling_pct
Harold Varner III,2025,,154.0,315.8,1.0,60.0,69.58,1.62,58.9
Harold Varner III,2026,Smash GC,31.0,286.6,2.0,51.79,76.39,1.69,58.82
Hellgren,2026,Wild Card,31.0,292.1,1.0,58.04,70.14,1.62,60.47
Hennie Du Plessis,2022,Southern Guards GC,32.0,295.4,1.0,54.76,69.75,1.7,51.02
Henrik Stenson,2022,Majesticks Golf Club,52.0,297.5,1.0,73.21,73.15,1.63,55.17
Henrik Stenson,2023,Majesticks Golf Club,152.0,294.0,3.0,75.14,71.65,1.65,62.81
Henrik Stenson,2024,Majesticks Golf Club,143.0,295.5,0.0,68.21,71.81,1.68,60.1
Henrik Stenson,2025,Majesticks Golf Club,132.0,296.1,1.0,72.5,69.86,1.71,56.68
Hideto Tanihara,2022,Torque GC,41.0,280.1,0.0,67.62,62.59,1.68,54.46
Hudson Swafford,2022,,66.0,305.0,1.0,59.79,67.2,1.7,48.39
Hudson Swafford,2024,,117.0,291.7,2.0,47.44,59.54,1.64,46.13
Ian Poulter,2022,Majesticks Golf Club,81.0,286.4,0.0,63.23,68.25,1.64,53.33
Ian Poulter,2023,Majesticks Golf Club,134.0,296.0,4.0,60.59,65.24,1.59,70.9
Ian Poulter,2024,Majesticks Golf Club,132.0,296.5,1.0,60.18,64.31,1.58,60.31
Ian Poulter,2025,Majesticks Golf Club,119.0,292.0,6.0,61.43,61.39,1.6,58.27
Ian Poulter,2026,Majesticks Golf Club,32.0,280.1,1.0,50.89,72.22,1.61,70.0
Ian Snyman,2022,,13.0,278.5,0.0,57.14,56.48,1.63,57.45
Itthipat Buranatanyarat,2022,,14.0,286.3,0.0,39.29,47.22,1.63,42.11
JC Ritchie,2022,Cleeks Golf Club,7.0,275.5,0.0,48.72,72.22,1.8,60.0
James Piot,2022,,70.0,298.2,2.0,63.57,63.76,1.65,52.55
James Piot,2023,HyFlyers GC,153.0,295.0,3.0,56.91,63.68,1.61,52.94
Jason Kokrak,2022,Smash GC,49.0,311.9,1.0,58.45,74.44,1.68,68.12
Jason Kokrak,2023,Smash GC,163.0,309.0,2.0,62.52,72.52,1.61,60.11
Jason Kokrak,2024,Smash GC,155.0,302.9,3.0,59.46,69.17,1.63,52.7
Jason Kokrak,2025,Smash GC,152.0,309.1,6.0,59.11,64.17,1.59,56.59
Jason Kokrak,2026,Smash GC,42.0,271.4,1.0,56.25,70.83,1.51,61.9
Jed Morgan,2022,Torque GC,74.0,305.8,2.0,58.76,63.49,1.66,44.93
Jed Morgan,2023,Ripper GC,124.0,309.0,4.0,52.3,62.96,1.64,51.92
Jinichiro Kozuma,2022,,39.0,280.7,0.0,57.14,58.64,1.55,56.72
Jinichiro Kozuma,2024,Korean Golf Club,140.0,303.5,7.0,53.04,62.08,1.58,58.61
