team,year,events,wins,podiums,avg_rank,avg_score,best_rank,worst_rank,win_rate,podium_rate,est_sg_total_mean,est_sg_total_std,est_sg_total_min,est_sg_total_max,est_sg_ott_mean,est_sg_ott_std,est_sg_ott_min,est_sg_ott_max,est_sg_app_mean,est_sg_app_std,est_sg_app_min,est_sg_app_max,est_sg_atg_mean,est_sg_atg_std,est_sg_atg_min,est_sg_atg_max,est_sg_putt_mean,est_sg_putt_std,est_sg_putt_min,est_sg_putt_max,star_index,roster_size,win_tier
Korean Golf Club,2025,13,0,0,11.23,5.08,8,13,0.0,0.0,-0.4267236125,0.14159212128121984,-0.6081398,-0.21489398,0.013158882499999996,0.08439176994968507,-0.06072055,0.15639846,-0.3029199675,0.043270669950176054,-0.3457181,-0.23438124,-0.0985352725,0.03323381417510137,-0.12833998,-0.04591749,0.004853645249999997,0.18214909398108337,-0.28401196,0.18281496,0.2118296325,4.0,0 wins
Korean Golf Club,2026,2,0,0,10.5,-8.0,9,12,0.0,0.0,0.30940484,0.4256993177501009,-0.17168495,0.99581665,-0.2683797275,0.19361938294943437,-0.56286067,-0.05026201,0.25009385,0.2504651993055249,-0.1140217,0.5269643,0.22874518624999998,0.1446784030587917,0.057971135,0.38497648,0.22821353774,0.45662023076838965,-0.40680087,0.7138196,0.68641181,4.0,0 wins
Legion XIII,2024,13,4,4,5.15,-19.08,1,11,0.308,0.308,0.52229951875,0.8214187747716689,-0.5879381,1.5245159,0.323125485,0.22610960166366548,0.17846534,0.7144623,0.12362990374999999,0.30533011158284096,-0.28736487,0.5223559,-0.01246072999999999,0.18088113979756776,-0.2574294,0.21172686,0.14516385425,0.22477525008963867,-0.14900063,0.46499744,1.0022163812499998,4.0,3+ wins
Legion XIII,2025,13,4,8,2.92,-20.54,1,6,0.308,0.615,0.33904599675,0.3302376111973347,-0.052327093,0.8564473,0.38514521,0.17731639543353667,0.21844442,0.66057605,0.0008537824999999971,0.28595568835474355,-0.2944161,0.40147823,-0.048410443,0.05280358482498782,-0.11174317,0.033130795,0.0821007465,0.11096826352984662,-0.058021862,0.25271225,0.51740130325,4.0,3+ wins
Legion XIII,2026,2,0,0,9.5,-10.5,9,10,0.0,0.0,0.9573776549999999,0.5134660987535881,0.34262347,1.7638891,-0.077959145,0.25253967392487664,-0.41949448,0.292183,0.534150875,0.22849943179132445,0.31023565,0.8892073,0.2724400275,0.11530366887743629,0.12739062,0.43373978,0.297868064,0.11901594412662346,0.093407646,0.38383108,0.8065114450000002,4.0,0 wins
Majesticks Golf Club,2022,5,0,2,4.8,-11.0,2,7,0.0,0.4,0.058577058000000015,0.20043955098927113,-0.19501208,0.37161905,0.1371872892,0.1370855830501928,-0.032320704,0.36965954,0.10817534799999999,0.16810916196986447,-0.082610995,0.370958,-0.094012623,0.05444234456081631,-0.15863752,-0.013923842,-0.070766996,0.1945000681677189,-0.25754613,0.2044755,0.313041992,5.0,0 wins
Majesticks Golf Club,2023,13,0,0,7.69,-6.62,4,12,0.0,0.0,0.06038897,0.2435807376659815,-0.217899,0.3247787,0.0156302523,0.16834340567766798,-0.12341569,0.2957839,-0.012875188499999995,0.21493954482486038,-0.34402272,0.24549697,-0.0022429512499999946,0.1410505730899103,-0.14547464,0.21916108,0.039572906250000005,0.1707411786149137,-0.17406362,0.27836227,0.26438973,4.0,0 wins
Majesticks Golf Club,2024,13,0,0,9.31,-4.92,4,13,0.0,0.0,0.044736246000000014,0.17053791337143268,-0.22199084,0.25323573,0.08235709025,0.1325362889609549,-0.07025332,0.26967177,0.04901964,0.13447410252595982,-0.10883336,0.24904862,-0.048526886000000005,0.0777917791718927,-0.15850636,0.06027829,-0.042704945,0.20869756679040158,-0.3266158,0.25943387,0.20849948399999998,4.0,0 wins
Majesticks Golf Club,2025,13,0,0,10.31,2.15,5,13,0.0,0.0,-0.3264576325,0.10763537501234466,-0.4366336,-0.15085886,0.04737826425,0.1842194789083083,-0.14269046,0.34635195,-0.23582753425000003,0.19854998208217112,-0.53586763,0.012016093,-0.10437778075000001,0.09013580379605471,-0.26028126,-0.044782996,-0.05408457004999999,0.26593886509609327,-0.5018883,0.16980974,0.17559877249999997,4.0,0 wins
Majesticks Golf Club,2026,2,0,0,11.0,-7.5,11,11,0.0,0.0,-0.1582895125,0.569355167273239,-0.9859109,0.6167275,-0.36705651,0.37050893156419257,-0.80659854,0.21737202,0.28102276,0.22022142243931414,0.11654417,0.6555824,0.07242716749999999,0.2090925288130364,-0.13559583,0.4211753,-0.216353933,0.1535373019882235,-0.37295696,0.037771698,0.7750170125,4.0,0 wins
RangeGoats GC,2023,13,1,6,4.08,-17.38,1,8,0.077,0.462,0.35923410750000007,0.4072690359838312,-0.25285155,0.8653486,0.1803205825,0.10996794668780431,0.10295913,0.36927933,0.1399914625,0.04358799194081116,0.09243454,0.20516703,0.04319092175,0.11163811444528896,-0.13274342,0.17684068,0.024391790000000024,0.3195588052177452,-0.5226116,0.2833261,0.5061144925,4.0,1–2 wins
RangeGoats GC,2024,13,0,2,8.23,-9.77,2,13,0.0,0.154,-0.0318653125,0.17552119359300772,-0.26354814,0.2210647,0.11009952,0.23672978206820197,-0.25287616,0.3938574,-0.22132558,0.11052726151667425,-0.39437613,-0.11464323,-0.03971547167500001,0.15642478600431214,-0.28316137,0.15279426,0.14037495650000004,0.21979426897986315,-0.19202587,0.40496048,0.2529300125,4.0,0 wins
RangeGoats GC,2025,13,0,1,8.31,-2.92,2,13,0.0,0.077,-0.32594908,0.343771695787449,-0.64678353,0.2496752,0.10443567619999998,0.17113518141337933,-0.13630575,0.35046336,-0.1995308202,0.24344864804012178,-0.49445668,0.10289453,-0.14842319399999998,0.07808426473779427,-0.28339347,-0.06482503,-0.0671206698,0.15061679227992442,-0.32924724,0.11515834,0.57562428,5.0,0 wins
RangeGoats GC,2026,2,0,0,6.0,-16.0,5,7,0.0,0.0,0.8671465899999999,0.7484592363385365,-0.0323911,1.7445583,-0.24303494650000002,0.13126944787117134,-0.4276672,-0.087238796,0.45549768,0.17705739368989834,0.23997067,0.6882389,0.204721459,0.12708588226194714,0.038449086,0.36787948,0.28620580125,0.36194556507435366,-0.15131731,0.66955805,0.8774117100000001,4.0,0 wins
Ripper GC,2023,13,1,4,6.77,-10.85,1,11,0.077,0.308,0.23790859250000002,0.620357173211804,-0.7847876,0.86267483,0.11591191675,0.08627809033723752,0.0235812,0.24144103,0.04753330375000002,0.22777129198759913,-0.31646556,0.28905252,0.029522285325,0.1470247344338505,-0.19768071,0.19106314,0.08902050524999999,0.27303265608089816,-0.2694276,0.47703892,0.6247662375,4.0,1–2 wins
